N EstimatedArea RelativeError
100 0.777771 0.176541
600 1.21527 0.286654
1100 0.821962 0.129754
1600 0.838534 0.112209
2100 0.967584 0.0244218
2600 0.946039 0.0016108
3100 0.95026 0.00608057
3600 1.04783 0.109382
4100 0.931902 0.0133559
4600 0.889787 0.0579454
5100 0.903587 0.0433348
5600 0.970477 0.0274853
6100 0.986558 0.0445101
6600 0.957483 0.0137275
7100 0.933873 0.0112697
7600 0.986285 0.0442215
8100 0.962611 0.0191572
8600 0.949604 0.0053856
9100 0.931616 0.0136594
9600 0.916514 0.0296483
10100 0.922159 0.0236715
10600 0.946532 0.00213368
11100 0.9328 0.012406
11600 0.974728 0.0319854
12100 0.903918 0.0429845
12600 0.919745 0.0262274
13100 0.909873 0.0366791
13600 0.915739 0.0304682
14100 0.96256 0.0191031
14600 0.950905 0.00676284
15100 0.936158 0.00885023
15600 0.924849 0.0208232
16100 0.952286 0.00822542
16600 0.952301 0.00824083
17100 0.945492 0.00103201
17600 0.979947 0.0375112
18100 0.916352 0.0298201
18600 0.931443 0.0138418
19100 0.939128 0.00570598
19600 0.937988 0.00691303
20100 0.924328 0.0213747
20600 0.950976 0.00683813
21100 0.939499 0.00531265
21600 0.936656 0.0083232
22100 0.956817 0.0130219
22600 0.958018 0.0142934
23100 0.990732 0.0489295
23600 0.947084 0.00271796
24100 0.962935 0.0194999
24600 0.946525 0.00212578
25100 0.929219 0.0161965
25600 0.92778 0.0177199
26100 0.909262 0.0373263
26600 0.935299 0.00975998
27100 0.924141 0.0215731
27600 0.940511 0.00424154
28100 0.956298 0.0124732
28600 0.922243 0.0235824
29100 0.923436 0.0223197
29600 0.901597 0.0454417
30100 0.95025 0.00606954
30600 0.95601 0.012168
31100 0.929699 0.0156889
31600 0.915296 0.0309377
32100 0.928297 0.0171726
32600 0.959092 0.0154306
33100 0.958115 0.0143966
33600 0.936913 0.00805089
34100 0.965941 0.0226826
34600 0.947487 0.00314403
35100 0.92568 0.0199434
35600 0.944904 0.000409774
36100 0.959287 0.0156371
36600 0.96451 0.0211675
37100 0.961994 0.018503
37600 0.935497 0.00955003
38100 0.945675 0.00122634
38600 0.925366 0.0202762
39100 0.946603 0.00220818
39600 0.949136 0.00488992
40100 0.983366 0.0411311
40600 0.961198 0.0176611
41100 0.938624 0.00623964
41600 0.934353 0.0107609
42100 0.963207 0.0197881
42600 0.933416 0.0117529
43100 0.95913 0.0154717
43600 0.957497 0.0137419
44100 0.930547 0.0147905
44600 0.944094 0.000448557
45100 0.947639 0.00330498
45600 0.934476 0.0106306
46100 0.955764 0.0119075
46600 0.923394 0.0223637
47100 0.944554 3.8993e-05
47600 0.946479 0.00207656
48100 0.959278 0.0156276
48600 0.952009 0.00793206
49100 0.93578 0.00925007
49600 0.94634 0.00193007
50100 0.953002 0.00898343
50600 0.947044 0.00267486
51100 0.964413 0.0210646
51600 0.951865 0.00777937
52100 0.954486 0.0105545
52600 0.924342 0.0213601
53100 0.941271 0.00343666
53600 0.947364 0.00301415
54100 0.933756 0.011393
54600 0.932684 0.0125283
55100 0.943806 0.000753066
55600 0.927974 0.0175146
56100 0.960083 0.0164797
56600 0.928756 0.016687
57100 0.94429 0.000240401
57600 0.935249 0.00981238
58100 0.949121 0.00487471
58600 0.961596 0.0180816
59100 0.939642 0.00516159
59600 0.940241 0.00452688
60100 0.951993 0.0079148
60600 0.950716 0.00656274
61100 0.934503 0.0106029
61600 0.957062 0.0132819
62100 0.937771 0.00714221
62600 0.957925 0.0141959
63100 0.942169 0.00248617
63600 0.939806 0.00498743
64100 0.942334 0.00231108
64600 0.934288 0.0108298
65100 0.945631 0.00117903
65600 0.952354 0.00829754
66100 0.951916 0.0078337
66600 0.949149 0.00490397
67100 0.954682 0.0107618
67600 0.925329 0.0203156
68100 0.935238 0.00982419
68600 0.964986 0.0216709
69100 0.950828 0.00668122
69600 0.961877 0.0183794
70100 0.943366 0.00121863
70600 0.945498 0.00103883
71100 0.956078 0.0122403
71600 0.954154 0.0102032
72100 0.939851 0.00493984
72600 0.928558 0.016897
73100 0.937767 0.00714652
73600 0.948172 0.00386998
74100 0.944399 0.000125576
74600 0.941848 0.00282576
75100 0.943863 0.000692869
75600 0.956524 0.0127126
76100 0.951262 0.00714082
76600 0.948733 0.00446371
77100 0.940437 0.0043199
77600 0.920471 0.0254589
78100 0.946446 0.00204167
78600 0.953289 0.0092869
79100 0.942838 0.00177757
79600 0.957069 0.0132887
80100 0.946361 0.00195183
80600 0.927583 0.0179285
81100 0.944402 0.00012215
81600 0.945049 0.000562846
82100 0.944622 0.00011113
82600 0.934431 0.0106782
83100 0.934542 0.0105614
83600 0.956049 0.012209
84100 0.938689 0.00617056
84600 0.931647 0.013626
85100 0.95839 0.0146878
85600 0.935642 0.00939652
86100 0.959002 0.015336
86600 0.944147 0.000391526
87100 0.945871 0.00143353
87600 0.950128 0.00594032
88100 0.957978 0.0142515
88600 0.934905 0.0101766
89100 0.936206 0.00879974
89600 0.965486 0.0222008
90100 0.938008 0.00689147
90600 0.9353 0.00975912
91100 0.955032 0.0111322
91600 0.929865 0.0155129
92100 0.947935 0.00361821
92600 0.95174 0.00764754
93100 0.934933 0.0101469
93600 0.946142 0.00172077
94100 0.953823 0.00985262
94600 0.939327 0.0054952
95100 0.942362 0.00228153
95600 0.936518 0.00846875
96100 0.938222 0.00666548
96600 0.94041 0.0043481
97100 0.948784 0.00451782
97600 0.934261 0.0108582
98100 0.953879 0.00991206
98600 0.944408 0.000115714
99100 0.938858 0.00599148
99600 0.952106 0.00803413
