N EstimatedArea RelativeError
100 0.777771 0.176541
600 0.907399 0.0392982
1100 0.954537 0.0106084
1600 0.984366 0.0421899
2100 0.912029 0.0343967
2600 0.908646 0.0379786
3100 0.93458 0.0105214
3600 0.923603 0.0221428
4100 1.00778 0.0669815
4600 1.0018 0.0606506
5100 0.897868 0.0493896
5600 0.918395 0.027657
6100 0.943525 0.00105012
6600 0.900034 0.0470961
7100 0.89964 0.0475135
7600 0.983727 0.0415127
8100 0.889395 0.0583597
8600 0.925864 0.019749
9100 0.97435 0.0315856
9600 0.903348 0.0435871
10100 0.911571 0.034882
10600 0.940112 0.00466374
11100 0.939806 0.00498743
11600 0.92947 0.0159314
12100 0.969803 0.0267713
12600 0.918202 0.0278613
13100 0.95366 0.00967978
13600 0.966495 0.0232685
14100 0.957734 0.013993
14600 0.944912 0.000417696
15100 0.958693 0.0150083
15600 0.912385 0.0340196
16100 0.913639 0.0326918
16600 0.920675 0.0252432
17100 0.905694 0.041104
17600 0.988785 0.0468686
18100 0.932466 0.0127595
18600 0.904786 0.0420652
19100 0.97425 0.031479
19600 0.919139 0.0268693
20100 0.953833 0.00986351
20600 0.907557 0.0391316
21100 0.930745 0.0145814
21600 0.934855 0.0102294
22100 0.977493 0.0349124
22600 0.953286 0.00928343
23100 0.982315 0.0400176
23600 0.887763 0.0600882
24100 0.95527 0.0113849
24600 0.931902 0.0133559
25100 0.938128 0.00676448
25600 0.939933 0.0048534
26100 0.955824 0.0119708
26600 0.963442 0.0200362
27100 0.977954 0.0354005
27600 0.935227 0.00983569
28100 0.941075 0.0036443
28600 0.954877 0.0109683
29100 0.934795 0.0102932
29600 0.945281 0.000808313
30100 0.975121 0.0324011
30600 0.944255 0.000278104
31100 0.948768 0.00450044
31600 0.928218 0.0172568
32100 0.975848 0.0331713
32600 0.939409 0.00540842
33100 0.93873 0.00612766
33600 0.973082 0.0302424
34100 0.911201 0.0352735
34600 0.903934 0.0429673
35100 0.979138 0.0366547
35600 0.935346 0.00970998
36100 0.958209 0.0144965
36600 0.940072 0.00470619
37100 0.937361 0.00757692
37600 0.958768 0.015088
38100 0.982676 0.0404001
38600 0.927633 0.0178762
39100 0.948343 0.00405096
39600 0.945699 0.0012509
40100 0.916693 0.0294585
40600 0.955212 0.0113229
41100 0.93271 0.0125007
41600 0.956322 0.0124979
42100 0.954201 0.0102528
42600 0.941404 0.00329605
43100 0.945371 0.000903519
43600 0.940104 0.00467265
44100 0.962514 0.0190535
44600 0.943658 0.000910137
45100 0.949148 0.0049026
45600 0.913369 0.0329778
46100 0.932566 0.0126534
46600 0.958653 0.0149658
47100 0.937329 0.00760991
47600 0.937696 0.00722195
48100 0.926938 0.0186119
48600 0.936406 0.00858794
49100 0.931424 0.0138621
49600 0.962609 0.0191546
50100 0.93903 0.00580924
50600 0.939358 0.00546208
51100 0.950144 0.00595711
51600 0.941502 0.0031921
52100 0.923323 0.0224392
52600 0.930811 0.014511
53100 0.985762 0.043668
53600 0.944462 5.8453e-05
54100 0.939687 0.00511427
54600 0.932506 0.0127168
55100 0.946805 0.00242271
55600 0.946859 0.00247949
56100 0.925423 0.0202163
56600 0.936142 0.00886709
57100 0.92488 0.0207908
57600 0.963268 0.0198521
58100 0.934563 0.0105386
58600 0.945005 0.00051635
59100 0.949183 0.00494006
59600 0.923603 0.0221428
60100 0.938728 0.00612922
60600 0.943817 0.000741043
61100 0.946755 0.00236889
61600 0.956747 0.0129478
62100 0.943564 0.00100937
